snapshot_date,ticker,total_notional,total_volume,print_count,large_print_count,buy_volume,sell_volume,bias,largest_print_notional,marketcap,sector
2026-04-23,NVDA,3165945.0,15230,18,0,6398,4076,0.4201,382942.59,5046624000000.0,Technology
2026-04-23,INTC,2011626.27,24509,12,0,2665,4100,0.1087,459647.44,410900630000.0,Technology
2026-04-23,INTU,1974573.6,5000,2,1,5000,0,1.0,1863998.8,0.0,—
2026-04-23,SGOV,1891384.74,18794,6,0,0,0,0.0,813146.15,0.0,—
2026-04-23,MSFT,1873084.49,4413,7,0,2139,0,0.4847,806068.53,0.0,—
2026-04-23,AVGO,1466301.53,3473,6,0,0,868,0.0,503536.44,0.0,—
2026-04-23,AMD,1381317.48,3992,9,0,0,1221,0.0,345975.0,563836829780.0,Technology
2026-04-23,TSLA,1288918.03,3420,6,0,720,1900,0.2105,376840.0,0.0,—
2026-04-23,SPY,1202210.81,1684,5,0,875,326,0.5196,344808.92,0.0,—
2026-04-23,AXP,1141296.94,3640,2,0,2560,1080,0.7033,802943.74,0.0,—
2026-04-23,ELV,1032540.3,3000,1,1,0,0,0.0,1032540.3,0.0,—
2026-04-23,TSM,995030.83,2479,6,0,1320,0,0.5325,208982.9,0.0,—
2026-04-23,SOXS,745108.27,54600,3,0,17300,0,0.3168,272820.0,0.0,—
2026-04-23,META,739101.46,1094,6,0,430,484,0.3931,189196.0,0.0,—
2026-04-23,SNDK,648489.92,655,4,0,200,0,0.3053,198087.7,0.0,—
2026-04-23,QQQ,599946.33,904,3,0,0,682,0.0,289968.42,0.0,—
2026-04-23,AMAT,540583.0,1300,3,0,0,0,0.0,207915.0,0.0,—
2026-04-23,GOOGL,525164.63,1522,4,0,1122,0,0.7372,146301.24,0.0,—
2026-04-23,AMZN,500016.83,1893,1,0,0,0,0.0,500016.83,0.0,—
2026-04-23,COHU,470686.37,10021,1,0,0,10021,0.0,470686.37,0.0,—
2026-04-23,AAPL,453904.64,1674,3,0,1674,0,1.0,183559.07,0.0,—
2026-04-23,NVTS,430051.16,25105,1,0,0,0,0.0,430051.16,0.0,—
2026-04-23,ASML,428902.76,294,2,0,0,0,0.0,283020.76,0.0,—
2026-04-23,MU,414207.76,836,3,0,300,0,0.3589,148647.0,0.0,—
2026-04-23,SOXL,394937.16,3100,2,0,0,1500,0.0,203792.16,0.0,—
2026-04-23,KLAC,385595.0,200,1,0,0,0,0.0,385595.0,0.0,—
2026-04-23,FIX,374808.99,218,2,0,0,0,0.0,206226.94,0.0,—
2026-04-23,NOW,360339.8,4000,2,0,0,2000,0.0,180179.8,0.0,—
2026-04-23,ISRG,347158.8,720,3,0,0,0,0.0,115719.6,0.0,—
